,Unnamed: 0,p,ratio,n,beta,pct,Graph,TTE,rep,Rand,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
16980,15,0.35,2,10000,2,0.75,10000-0,8.698167151381424,378,Bernoulli,Reg,7.527011245959063,-1.1711559054223617,1.3716061548056715,-0.1346439870652935
16981,16,0.35,2,10000,2,0.75,10000-0,8.698167151381424,378,Bernoulli,VIM,6.1569899756171536,-2.541177175764271,6.457581438625276,-0.2921508786320215
16982,17,0.35,2,10000,2,0.75,10000-0,8.698167151381424,378,Bernoulli,SNIPE(2),11.101044290728234,2.40287713934681,5.773818546795508,0.2762509730530058
16983,18,0.35,2,10000,2,0.75,10000-0,8.698167151381424,378,Bernoulli,Lin's,3.728207855350012,-4.969959296031412,24.70049540420905,-0.5713800631253785
16984,19,0.35,2,10000,2,0.75,10000-0,8.698167151381424,378,Bernoulli,DM,3.7405194767255776,-4.957647674655847,24.57827046602053,-0.5699646360404197
16985,20,0.35,2,10000,2,1.0,10000-0,8.698167151381424,378,Bernoulli,Reg,7.527011245959058,-1.171155905422366,1.3716061548056822,-0.134643987065294
16986,21,0.35,2,10000,2,1.0,10000-0,8.698167151381424,378,Bernoulli,VIM,6.100168680366882,-2.5979984710145425,6.7495960553939005,-0.2986834382231818
16987,22,0.35,2,10000,2,1.0,10000-0,8.698167151381424,378,Bernoulli,SNIPE(2),11.395088209515691,2.696921058134267,7.273383193808054,0.3100562464709531
16988,23,0.35,2,10000,2,1.0,10000-0,8.698167151381424,378,Bernoulli,Lin's,3.728207855350011,-4.969959296031414,24.700495404209068,-0.5713800631253787
16989,24,0.35,2,10000,2,1.0,10000-0,8.698167151381424,378,Bernoulli,DM,3.7433889273588656,-4.954778224022559,24.549827249248143,-0.56963474462958
16990,25,0.35,2,10000,2,1.3333333333333333,10000-0,8.698167151381424,378,Bernoulli,Reg,7.52701124595906,-1.1711559054223644,1.3716061548056782,-0.1346439870652938
16991,26,0.35,2,10000,2,1.3333333333333333,10000-0,8.698167151381424,378,Bernoulli,VIM,6.024406953367065,-2.67376019801436,7.148993596485786,-0.3073935176779994
16992,27,0.35,2,10000,2,1.3333333333333333,10000-0,8.698167151381424,378,Bernoulli,SNIPE(2),11.787146767898964,3.0889796165175394,9.541795071260845,0.3551299443615491
16993,28,0.35,2,10000,2,1.3333333333333333,10000-0,8.698167151381424,378,Bernoulli,Lin's,3.72820785535001,-4.969959296031414,24.700495404209068,-0.5713800631253787
16994,29,0.35,2,10000,2,1.3333333333333333,10000-0,8.698167151381424,378,Bernoulli,DM,3.747214861536584,-4.950952289844841,24.51192857631987,-0.5691948894151271
16995,30,0.35,2,10000,2,2.0,10000-0,8.698167151381423,378,Bernoulli,Reg,7.527011245959062,-1.1711559054223608,1.3716061548056695,-0.1346439870652934
16996,31,0.35,2,10000,2,2.0,10000-0,8.698167151381423,378,Bernoulli,VIM,5.872883499365358,-2.825283652016065,7.982227714349233,-0.3248136765878728
16997,32,0.35,2,10000,2,2.0,10000-0,8.698167151381423,378,Bernoulli,SNIPE(2),12.571263884665512,3.8730967332840898,15.000878305375888,0.4452773401427418
16998,33,0.35,2,10000,2,2.0,10000-0,8.698167151381423,378,Bernoulli,Lin's,3.728207855350013,-4.969959296031409,24.700495404209025,-0.5713800631253784
16999,34,0.35,2,10000,2,2.0,10000-0,8.698167151381423,378,Bernoulli,DM,3.754866729892024,-4.943300421489399,24.43621905709727,-0.5683151789862207
17000,35,0.35,2,10000,2,4.0,10000-0,8.698167151381423,378,Bernoulli,Reg,7.527011245959063,-1.17115590542236,1.3716061548056675,-0.1346439870652933
17001,36,0.35,2,10000,2,4.0,10000-0,8.698167151381423,378,Bernoulli,VIM,5.41831313737308,-3.2798540140083423,10.757442353206637,-0.3770741533160171
17002,37,0.35,2,10000,2,4.0,10000-0,8.698167151381423,378,Bernoulli,SNIPE(2),14.923615234965162,6.225448083583739,38.75620384139645,0.7157195274863197
17003,38,0.35,2,10000,2,4.0,10000-0,8.698167151381423,378,Bernoulli,Lin's,3.728207855350012,-4.96995929603141,24.70049540420904,-0.5713800631253784
17004,39,0.35,2,10000,2,4.0,10000-0,8.698167151381423,378,Bernoulli,DM,3.777822334958335,-4.920344816423087,24.209793112501547,-0.565676047699503
17010,0,0.35,2,10000,2,0.0,10000-0,8.698167151381423,379,Bernoulli,Reg,7.889656357307588,-0.8085107940738343,0.6536897041339021,-0.0929518575583395
